,mol_name,mol_tag,smiles_str,cgsmiles_str,OCO,HD,CLF
0,water,W,O,{[#W]}.{#W=O},-8.23,-21.68,-14.15
1,butene,butene,CCC=C,{[#C4]}.{#C4=CCC=C},13.4,10.6,13.6
2,propene,propene,CC=C,{[#SC4]}.{#SC4=CC=C},8.4,7.5,10.6
3,ethene,ethene,C=C,{[#TC4]}.{#TC4=C=C},6.4,5.6,8.2
4,butyne,butyne,CCC#C,{[#C6]}.{#C6=CCC#C},10.1,5.4,11.4
5,propyne,propyne,CC#C,{[#SC6]}.{#SC6=CC#C},5.3,2.7,8.7
6,1-propanol,1-propanol,CCCO,{[#P1]}.{#P1=CCCO},-2.0,-11.1,-4.8
7,2-propanol,2-propanol,CC(C)O,{[#SN6]}.{#SN6=CC(C)O},-4.2,-11.1,-6.9
8,ethanol,ethanol,CCO,{[#SP1]}.{#SP1=CCO},-5.2,-13.1,-6.7
9,methanol,methanol,CO,{[#SP2r]}.{#SP2r=CO},-6.9,-14.8,-8.9
10,isobutanal,isobutanal,CC(C)C=O,{[#N4a]}.{#N4a=CC(C)C=O},4.3,-3.0,3.1
11,propanal,propanal,CCC=O,{[#N5a]}.{#N5a=CCC=O},2.2,-5.1,1.0
12,ethanal,ethanal,CC=O,{[#SN5a]}.{#SN5a=CC=O},-1.0,-6.6,-0.6
13,butane,butane,CCCC,{[#C1]}.{#C1=CCCC},18.9,17.2,17.2
14,2-methylpropane,2-methylpropane,CC(C)C,{[#C2]}.{#C2=CC(C)C},14.8,15.4,14.3
15,2-methyl-propane,2-methyl-propane,CC(C)C,{[#SC1]}.{#SC1=CC(C)C},14.2,15.3,14.9
16,propane,propane,CCC,{[#SC2]}.{#SC2=CCC},9.9,13.9,11.6
17,cyclopropane,cyclopropane,C1CC1,{[#SC3]}.{#SC3=C1CC1},9.2,11.0,10.9
18,ethane,ethane,CC,{[#TC2]}.{#TC2=CC},7.8,11.1,9.3
19,"N,N-dimethylformamide",DMFD,CN(C)C=O,{[#P3a]}.{#P3a=CN(C)C=O},-3.5,-13.2,-5.1
20,propanamide,propanamide,CCC(N)=O,{[#P5]}.{#P5=CCC(N)=O},-9.1,-19.2,-10.9
21,acetamide,acetamide,CC(N)=O,{[#SP5]}.{#SP5=CC(N)=O},-11.8,-20.4,-12.7
22,formamide,formamide,NC=O,{[#SP6r]}.{#SP6r=NC=O},-12.0,-28.5,-14.4
23,propanoic,propanoic,CCC(O)=O,{[#P2]}.{#P2=CCC(O)=O},-3.8,-13.2,-6.9
24,acetic,acetic,CC(O)=O,{[#SP2]}.{#SP2=CC(O)=O},-6.9,-14.8,-8.9
25,"buta-1,3-diene","buta-1,3-diene",C=CC=C,{[#C5]}.{#C5=C=CC=C},11.2,8.8,12.1
26,prop-2-en-1-ol,prop-2-en-1-ol,OCC=C,{[#P1]}.{#P1=OCC=C},-2.0,-11.1,-4.8
27,methyl acetate,methyl acetate,COC(C)=O,{[#N4]}.{#N4=COC(C)=O},2.2,-5.0,1.1
28,methyl formate,methyl formate,COC=O,{[#SN4]}.{#SN4=COC=O},-0.9,-6.6,-0.3
29,1-chloropropane,1-chloropropane,CCCCl,{[#X3]}.{#X3=CCCCl},13.9,10.7,14.8
30,tetrachloromethane,TCM,C(Cl)(Cl)(Cl)(Cl),{[#X1]}.{#X1=C(Cl)(Cl)(Cl)(Cl)},14.3,12.9,17.1
31,bromopropane,bromopropane,CCCBr,{[#X1]}.{#X1=CCCBr},14.3,12.9,17.1
32,iodoethane,iodoethane,CCI,{[#X1]}.{#X1=CCI},14.3,12.9,17.1
33,trichloromethane,trichloromethane,ClC(Cl)Cl,{[#X2]}.{#X2=ClC(Cl)Cl},12.7,10.3,14.5
34,"1,1-dichloroethane","1,1-dichloroethane",CC(Cl)Cl,{[#X3h]}.{#X3h=CC(Cl)Cl},13.9,10.7,14.8
35,"1,2-dichloroethane",DCE,ClCCCl,{[#X4h]}.{#X4h=ClCCCl},8.7,5.8,11.5
36,chloroethane,chloroethane,CCCl,{[#SX3]}.{#SX3=CCCl},8.0,8.1,12.3
37,dichloromethane,dichloromethane,ClCCl,{[#SX2]}.{#SX2=ClCCl},7.2,7.9,12.1
38,bromoethane,bromoethane,CCBr,{[#SX1r]}.{#SX1r=CCBr},9.4,10.3,14.6
39,iodomethane,iodomethane,CI,{[#SX1]}.{#SX1=CI},9.4,10.3,14.6
40,chloromethane,chloromethane,CCl,{[#TX3]}.{#TX3=CCl},5.4,5.4,8.6
41,bromomethane,bromomethane,CBr,{[#TX2]}.{#TX2=CBr},5.2,5.3,8.6
42,butanone,butanone,CCC(C)=O,{[#N4a]}.{#N4a=CCC(C)=O},4.3,-3.0,3.1
43,propanone,propanone,CC(C)=O,{[#SN5a]}.{#SN5a=CC(C)=O},-1.0,-6.6,-0.6
44,acetonitrile,acetonitrile,CC#N,{[#SN5ah]}.{#SN5ah=CC#N},-1.0,-6.6,-0.6
45,propane-1-thiol,propane-1-thiol,CCCS,{[#C6]}.{#C6=CCCS},10.1,5.4,11.4
46,dimethyl-sulfide,dimethyl-sulfide,CSC,{[#SC6]}.{#SC6=CSC},5.3,2.7,8.7
47,n-propylamine,n-propylamine,CCCN,{[#N6d]}.{#N6d=CCCN},1.0,-7.6,-2.9
48,ethylamine,ethylamine,CCN,{[#SN6d]}.{#SN6d=CCN},-2.5,-9.2,-5.0
49,methylamine,methylamine,CN,{[#TN6d]}.{#TN6d=CN},-4.1,-9.8,-6.0
50,dimethylamine,dimethylamine,CNC,{[#SN3]}.{#SN3=CNC},-1.8,-5.1,-0.4
51,trimethylamine,trimethylamine,CN(C)C,{[#SN3a]}.{#SN3a=CN(C)C},0.2,-2.9,1.9
52,glycine,glycine,NCC(O)=O,{[#P6]}.{#P6=NCC(O)=O},-9.2,-27.2,-11.9
53,hexyne,HXY,CCCCC#C,"{[#SC2][#SC6]}.{#SC2=CCC[$],#SC6=[$]CC#C}",,,
54,octyne,OCY,CCCCCCC#C,"{[#C1][#C6]}.{#C1=CCCC[$],#C6=[$]CCC#C}",,,
55,N-octanol,OCO,CCCCCCCCO,"{[#SC2][#SC2][#SP1]}.{#SC2=[$]CCC[$],#SP1=[$]CCO}",12.93,13.05,14.2
56,hexanol,HXO,CCCCCCO,"{[#C1][#SP1]}.{#C1=CCCC[$],#SP1=[$]CCO}",11.8,3.98,9.17
57,heptanol,HPO,CCCCCCCO,"{[#C1][#P1]}.{#C1=CCCC[$],#P1=[$]CCCO}",14.1,5.89,10.72
58,butanol,BTO,CCCCO,"{[#TC2][#SP1]}.{#TC2=CC[$],#SP1=[$]CCO}",2.2,-2.15,1.63
59,hexanal,HXA,CCCCCC=O,"{[#C1][#SN6a]}.{#C1=CCCC[$],#SN6a=[$]CC=O}",14.2,7.71,11.18
60,heptanal,HPAL,CCCCCCC=O,"{[#C1][#N6a]}.{#C1=CCCC[$],#N6a=[$]CCC=O}",17.4,8.89,12.34
61,butanal,BTA,CCCC=O,"{[#TC3][#SN6a]}.{#TC3=CC[$],#SN6a=[$]CC=O}",3.6,-0.77,2.28
62,Cyclohexane,CHEX,C1CCCCC1,{[#SC3]=[#SC3]}.{#SC3=[$]CCC[$]},17.468,20.832,20.114
63,hexane,HEX,CCCCCC,{[#SC2][#SC2]}.{#SC2=CCC[$]},18.8,25.93,21.54
64,octane,OCT,CCCCCCCC,{[#C1][#C1]}.{#C1=[$]CCCC},34.0,31.64,30.84
65,hexene,HXE,CCCCC=C,"{[#SC2][#SC4]}.{#SC2=CCC[$],#SC4=[$]CC=C}",17.7,20.4,21.01
66,octene,OCE,CCCCCCC=C,"{[#C1][#C4h]}.{#C1=CCCC[$],#C4h=[$]CCC=C}",29.5,25.68,27.81
67,"hexa-l,4-diene",HXD14,CC=CC=CC,{[#SC4][#SC4]}.{#SC4=CC=C[$]},16.43,14.73,20.22
68,ethylacetate,ETA,CCOC(C)=O,"{[#TC3][#SN4a]}.{#TC3=CC[$],#SN4a=[$]OC(C)=O}",7.2,3.75,8.62
69,n-butyl acetate,NBA,CCCCOC(C)=O,"{[#C2][#SN4a]}.{#C2=CCCC[$],#SN4a=[$]OC(C)=O}",15.0,11.39,15.21
70,iso-butyl acetate,IBA,CC(C)COC(C)=O,"{[#SC2][#SN4a]}.{#SC2=CC(C)C[$],#SN4a=[$]OC(C)=O}",10.4,9.0,12.14
71,t-butyl acetate,TBA,CC(=O)OC(C)(C)C,"{[#SC2][#SN4a]}.{#SC2=[$]C(C)(C)(C),#SN4a=[$]OC(C)=O}",10.3,9.06,12.3
72,Tetrahydropyran,THP,C1CCOCC1,"{[#SC3]=[#SN4a]}.{#SC3=[$]CCC[$],$SN4a=[$]COC[$]}",9.642,6.487,11.512
73,"1,4-dioxane",DIOX,C1COCCO1,{[#SN3a]=[#SN3a]}.{#SN3a=[$]COC[$]},0.216,-5.38,2.282
74,dimethoxyethane,DXE,COCCOC,{[#SN3r][#SN3r]}.{#SN3r=[$]COC[$]},0.42,-5.87,2.47
75,diisopropyl ehter,DISH,CC(C)OC(C)C,"{[#TC3][#SN3a][#TC3]}.{#TC3=CC[!]C,#SN3a=[!]COC[!]}",,,
76,trifluoroethanol,TFEOL,OCC(F)(F)(F),"{[#SX4e][#TP1d]}.{#SX4e=[!]CC(F)(F)(F),#TP1d=[!]CO}",-0.3,-7.59,2.45
77,hexa-2-one,HXN,CCCCC(=O)C,"{[#C2][#SN6a]}.{#C2=CCCC[$],#SN6a=[$]C(=O)C}",11.4,6.7,8.53
78,hepta-2-one,HPN,CCCCCC(=O)C,"{[#C2][#N6a]}.{#C2=CCCC[$],#N6a=[$]CC(=O)C}",13.9,8.01,9.96
79,acetylacetone,ANN,CC(=O)CC(C)=O,{[#SN5a][#SN5a]}.{#SN5a=CC(=O)C[!]},-1.6,-12.17,-1.44
80,diisopropylsufide,DISS,CC(C)SC(C)C,"{[#TC3][#SC5][#TC3]}.{#TC3=CC[!]C,#SC5=[!]CSC[!]}",17.78,18.71,22.77
81,dimethylsulfoxide,DMSO,C[S](C)=O,"{[#SC6][#TP6]}.{#SC6=CS[!]C,#TP6=[!]S=O}",-6.5,-22.96,-6.46
82,n-pentylamine,PTI,CCCCCN,"{[#SC2][#SN6d]}.{#SC2=CCC[$],#SN6d=[$]CCN}",6.6,4.45,5.67
83,n-hexylamine,HXI,CCCCCCN,"{[#C1][#SN6d]}.{#C1=CCCC[$],#SN6d=[$]CCN}",14.4,7.88,11.18
84,n-heptamine,HPI,CCCCCCCN,"{[#C1][#N6d]}.{#C1=CCCC[$],#N6d=[$]CCCN}",17.0,9.02,12.87
85,n-octylamine,OCI,CCCCCCCCN,"{[#SC2][#SC2][#SN6d]}.{#SC2=[<]CCC[>],#SN6d=[>]CCN}",15.8,16.79,15.86
86,butylamine,BTI,CCCCN,"{[#TC2][#SN6d]}.{#TC2=CC[$],#SN6d=[$]CCN}",4.4,1.26,3.13
87,dodecane,DOD,CCCCCCCCCCCC,{[#C1]|3}.{#C1=[$]CCCC[$]},,46.21,45.21
88,hexadecane,HD,CCCCCCCCCCCCCCCC,{[#C1]|4}.{#C1=[$]CCCC[$]},,,
89,1-dodecene,DOE,CCCCCCCCCCC=C,"{[#C4][#C1]|2}.{#C4=C=CCC[$],#C1=[$]CCCC[$]}",,20.99,41.75
90,1-hexyne,HXY,CCCCC#C,"{[#SC6][#SC2]}.{#SC6=C#CC[$],#SC2=CCC[$]}",14.2,15.94,18.82
91,1-octyne,OCY,CCCCCCC#C,"{[#C6][#C1]}.{#C1=[$]CCCC,#C6=[$]CCC#C}",25.4,20.62,25.83
92,1-4-hexadiene,HXD14,C=CCC=CC,{[#SC4]|2}.{#SC4=[<]C=CC[>]},16.43,14.73,20.22
93,trichloroethylene,TCE,ClC=C(Cl)Cl,{[#X3h]}.{#X3h=ClC=C(Cl)Cl},13.9,10.7,14.8
94,isopropanol,IPO,CC(C)O,{[#P1]}.{#P1=CC(C)O},-2.0,-11.1,-4.8
95,diethylether,ETH,CCOCC,{[#N2]}.{#N2=CCOCC},5.6,0.5,5.1
96,triglyme,TXE,COCCOCCOCCOC,{[#SN3r]|4}.{#SN3r=[$]COC[$]},,,
97,dimethylethylamine,NDI,CCN(C)C,{[#SN3]}.{#SN3=CCN(C)C},-1.8,-5.1,-0.4
98,dimethylacetamide,DMAD,CN(C)C(C)=O,{[#P2h]}.{#P2h=CN(C)C(C)=O},-3.8,-13.2,-6.9
99,methylhydrazine,methylhydrazine,CNN,{[#P5d]}.{#P5d=CNN},-7.0,-16.8,-8.8
100,dibromomethane,dibromomethane,BrCBr,{[#SX1]}.{#SX1=BrCBr},9.4,10.3,14.6
101,chlorobromomethane,chlorobromomethane,ClCBr,{[#SX2]}.{#SX2=ClCBr},7.2,7.9,12.1
102,propane,propane,CCC,{[#SC1]}.{#SC1=CCC},14.2,15.3,14.9
103,difluoromethane,difluoromethane,FCF,{[#TX4]}.{#TX4=FCF},2.7,1.2,6.4
104,diiodomethane,diiodomethane,ICI,{[#X2]}.{#X2=ICI},12.7,10.3,14.5
105,355120-85-3,355120-85-3,S=C=S,{[#C6]}.{#C6=S=C=S},10.1,5.4,11.4
106,methoxymethane,methoxymethane,COC,{[#SN3a]}.{#SN3a=COC},0.2,-2.9,1.9
107,carbondioxide,carbondioxide,O=C=O,{[#SC6]}.{#SC6=O=C=O},5.3,2.7,8.7
108,cyanamide,cyanamide,NC#N,{[#P4d]}.{#P4d=NC#N},-5.1,-14.7,-6.8
109,"propa-1,2-diene","propa-1,2-diene",[CH2]=[C]=[CH2],{[#SC4]}.{#SC4=C=C=C},8.4,7.5,10.6
110,bromoethene,bromoethene,BrC=C,{[#SX1]}.{#SX1=BrC=C},9.4,10.3,14.6
111,chlorofluoromethane,chlorofluoromethane,FCCl,{[#SX4]}.{#SX4=FCCl},4.3,2.9,8.6
112,cyanamide,cyanamide,NC#N,{[#SN6]}.{#SN6=NC#N},-4.2,-11.1,-6.9
113,vinylchloride,vinylchloride,ClC=C,{[#SX3]}.{#SX3=ClC=C},8.0,8.1,12.3
114,Propaneamide,AAMD,CCC(=O)N,"{[#TC3][#TP6a]}.{#TC3=CC[$],#TP6a=[$]C(=O)N}",-5.75,-18.05,-6.61
115,Methyl propanoate,MAC,O=C(OC)CC,"{[#TC3][#SN4a]}.{#TC3=CC[$],#SN4a=[$]C(=O)OC}",7.38,3.86,9.02
116,"1,3-Butanediol",PVA2,CC(O)CCO,{[#SN6r]|2}.{#SN6r=[<]CC[>](O)},,,
117,Methyl isobutyrate,MMAC,O=C(OC)C(C)(C),"{[#SC3][#SN4a]}.{#SC3=CC[$](C),#SN4a=[$]C(=O)OC}",,,
118,Dimethoxyethane,PEG2,COCCOC,{[#SN3r]|2}.{#SN3r=[$]COC[$]},-3.44,-9.85,-1.34
119,Ethylbenzene,STYR,CCc1ccccc1,"{[#TC3][#TC5]1[#TC5][#TC5]1}.{#TC3=CC[<],#TC5=[>][>]cc[<]}",16.043,14.099,21.785
120,Isobutyramide/Isobutanamide,MAMD,O=C(N)C(C)C,"{[#SC3][#TP6a]}.{#SC3=CC(C)[$],#TP6a=[$]C(=O)N}",-3.47,-16.09,-3.77
121,Ethanol,PVA,CCO,{[#SN6r]}.{#SN6r=CCO},-4.2,-11.1,-6.9
122,propionic acid,AAC,CCC(=O)O,"{[#TC3][#TP2a]}.{#TC3=CC[$],#TP2a=[$]C(=O)O}",-0.07,-4.28,0.12
123,Methoxyethane,MEH,COC,{[#SN3r]}.{#SN3r=COC},-1.8,-5.1,-0.4
124,2-Ethylpyrdine,2VP,CCc1ncccc1,"{[#TC3][#TN6a]1[#TC5][#TC5]1}.{#TC3=CC[$],#TC5=[>]cc[<],#TN6a=[$][>]cn[<]}",10.38,5.98,12.84
125,4-Ethylpyridine,4VP,CCc1ccncc1,"{[#TC3][#TC5]1[#TC5][#TN6a]1}.{#TC3=CC[$],#TC5=[$][>]cc[<],#TN6a=[>]cn[<]}",,,
126,Ethylamine,ALA,CCN,{[#TN6d]}.{#TN6d=CCN},-4.1,-9.8,-6.0
127,Butanone,MKA,CC(=O)CC,"{[#TC3][#SN5a]}.{#TC3=CC[$],#SN5a=CC[$]=O}",4.86,,
128,Propane / branched,PP,CC(C)CC(C)CC(C),"{[#TC3]([#TC3A])|3}.{#TC3=[>]CC[<][$],#TC3A=[$]C}",,,
129,12-Butadiene,12BD,CCC=C,"{[#TC3][#SC4]}.{#TC3=CC[$],#SC4=[$]C=C}",,,
130,Ethene,R9,C=C,{[#TC4]}.{#TC4=C=C},6.4,5.6,8.2
131,Propene,R25,C=C-C,{[#SC4]}.{#SC4=C=CC},8.4,7.5,10.6
132,"1,3 - butadiene",R27,C=CC=C,{[#SC4]|2}.{#SC4=C=C[$]},12.38,,
133,Methyl acrylate,R29,O=C(OC)C=C,"{[#TC4][#SN4a]}.{#TC4=C=C[$],#SN4a=[$]C(=O)OC}",-10.86,,
134,Methyl methacrylate,R11,O=C(OC)C(=C)(C),"{[#SC3][#SN4a]}.{#SC3=C=C[$](C),#SN4a=[$]C(=O)OC}",9.1,,
135,Styrene,R13,C=Cc1ccccc1,"{[#TC4][#TC5]1[#TC5][#TC5]1}.{#TC4=C=C[<],#TC5=[>][>]cc[<]}",18.06,,
136,acrylic acid,R1,C=CC(=O)O,"{[#TC4][#TP2a]}.{#TC4=C=C[$],#TP2a=[$]C(=O)O}",-0.14,,
137,acrylamide,R23,C=CC(=O)N,"{[#TC4][#TP6a]}.{#TC4=C=C[$],#TP6a=[$]C(=O)N}",-5.73,,
138,methacrylamide,R31,C=C(C)C(=O)N,"{[#SC3][#TP6a]}.{#SC3=C=C(C)[$],#TP6a=[$]C(=O)N}",-3.08,,
139,methacrylic acid,R33,C=C(C)C(=O)O,"{[#SC3][#TP2a]}.{#SC3=C=C(C)[$],#TP2a=[$]C(=O)O}",2.2,,
140,2-vinyl pyridine,R202,C=Cc1ncccc1,"{[#TC4][#TN6a]1[#TC5][#TC5]1}.{#TC4=C=C[$],#TC5=[>]cc[<],#TN6a=[$][>]cn[<]}",10.67,,
141,4-vinyl pyridine,R204,C=Cc1ccncc1,"{[#TC4][#TC5]1[#TC5][#TN6a]1}.{#TC4=C=C[$],#TC5=[$][>]cc[<],#TN6a=[>]cn[<]}",,,
142,methyl vinyl ketone,R18,C=CC(=O)C,"{[#TC4][#SN5a]}.{#TC4=C=C[$],#SN5a=CC[$]=O}",,,
143,1-Methylimidazole,1MIMI,C[n]1ccnc1,"{[#TN6a]1[#TC5][#TN1]1}.{#TN1=[>][<]nC,#TN6a=[$]nc[>],#TC5=[<]cc[$]}",3.046,-4.528,3.34
